"Unique Key","Created Date","Closed Date","Agency","Agency Name","Complaint Type","Descriptor","Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type","City","Landmark","Facility Type","Status","Due Date","Resolution Description","Resolution Action Updated Date","Community Board","BBL","Borough","X Coordinate (State Plane)","Y Coordinate (State Plane)","Open Data Channel Type","Park Facility Name","Park Borough","Vehicle Type","Taxi Company Borough","Taxi Pick Up Location","Bridge Highway Name","Bridge Highway Direction","Road Ramp","Bridge Highway Segment","Latitude","Longitude","Location"
"66601292","10/24/2025 09:47:16 PM",,"DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10002","200 ORCHARD STREET","ORCHARD STREET","STANTON STREET","EAST HOUSTON STREET","STANTON STREET","EAST HOUSTON STREET","ADDRESS","NEW YORK","ORCHARD STREET",,"In Progress",,,,"03 MANHATTAN","1004127503","MANHATTAN","987,572","202,465","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.72239574596","-73.98801534036","(40.72239574595509, -73.98801534035735)"
"66598641","10/24/2025 11:37:22 AM",,"DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10453","CLIFFORD PLACE","CLIFFORD PLACE","CLIFFORD PLACE","TOWNSEND AVENUE","CLIFFORD PLACE","TOWNSEND AVENUE","INTERSECTION",,,,"In Progress",,,,"05 BRONX",,"BRONX","1,008,524","247,587","PHONE","Unspecified","BRONX",,,,,,,,"40.84621085334","-73.91226455214","(40.84621085333982, -73.9122645521403)"
"66585672","10/23/2025 04:43:42 PM","10/24/2025 03:45:50 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Street","11231","654 HENRY STREET","HENRY STREET","COLES STREET","BROOKLYN QUEENS EXPWY EB ET   26","COLES STREET","BROOKLYN QUEENS EXPWY EB ET   26","ADDRESS","BROOKLYN","HENRY STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/24/2025 04:23:26 AM","06 BROOKLYN","3003720027","BROOKLYN","983,699","186,579","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.67879299904","-74.00198652315","(40.67879299903797, -74.00198652314631)"
"66584002","10/23/2025 07:34:30 AM","10/24/2025 01:44:44 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11372","93-30 ROOSEVELT AVENUE","ROOSEVELT AVENUE","94 STREET","94 STREET","94 STREET","94 STREET","ADDRESS","JACKSON HEIGHTS","ROOSEVELT AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/23/2025 01:08:42 PM","04 QUEENS","4015620022","QUEENS","1,019,529","212,115","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74881286417","-73.87267470917","(40.748812864174326, -73.87267470917251)"
"66569785","10/22/2025 06:03:03 PM",,"DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11102","24-63 27 STREET","27 STREET","24 AVENUE","HOYT AVENUE NORTH","24 AVENUE","HOYT AVENUE NORTH","ADDRESS","ASTORIA","27 STREET",,"In Progress",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/23/2025 01:40:23 PM","01 QUEENS","4008510009","QUEENS","1,006,632","220,831","ONLINE","Unspecified","QUEENS",,,,,,,,"40.77277808563","-73.91919216499","(40.772778085634826, -73.9191921649946)"
"66575007","10/22/2025 05:45:50 PM","10/24/2025 03:46:15 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","11228","7699 10 AVENUE","10 AVENUE","76 STREET","77 STREET","76 STREET","77 STREET","ADDRESS","BROOKLYN","10 AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/24/2025 01:42:37 PM","10 BROOKLYN",,"BROOKLYN","980,045","166,329","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.62321017314","-74.01514768332","(40.62321017314334, -74.01514768332007)"
"66576367","10/22/2025 01:35:46 PM","10/24/2025 03:05:46 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10014","15 DOWNING STREET","DOWNING STREET","AVENUE OF THE AMERICAS","BEDFORD STREET","AVENUE OF THE AMERICAS","BEDFORD STREET","ADDRESS","NEW YORK","DOWNING STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/22/2025 10:37:46 PM","02 MANHATTAN","1005270085","MANHATTAN","983,423","205,076","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.7295628913","-74.00298385897","(40.7295628913009, -74.00298385896821)"
"66567234","10/21/2025 01:39:23 PM",,"DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10027","MANHATTAN AVENUE","MANHATTAN AVENUE","MANHATTAN AVENUE","WEST  122 STREET","MANHATTAN AVENUE","WEST  122 STREET","INTERSECTION",,,,"In Progress",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/22/2025 10:11:47 AM","10 MANHATTAN",,"MANHATTAN","996,975","233,966","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.80884929713","-73.95403284427","(40.808849297129754, -73.95403284427447)"
"66552480","10/20/2025 08:19:07 AM","10/22/2025 02:35:09 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Sidewalk","10001","132 WEST   26 STREET","WEST   26 STREET","AVENUE OF THE AMERICAS","7 AVENUE","AVENUE OF THE AMERICAS","7 AVENUE","ADDRESS","NEW YORK","WEST   26 STREET",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/20/2025 11:55:17 PM","04 MANHATTAN","1008010060","MANHATTAN","986,328","210,791","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.74524894672","-73.99250070275","(40.74524894672425, -73.99250070274657)"
"66548632","10/20/2025 08:11:34 AM","10/22/2025 02:08:11 PM","DSNY","Department of Sanitation","Dirty Condition","Syringes","Street","10028","1534 3 AVENUE","3 AVENUE","EAST   86 STREET","EAST   87 STREET","EAST   86 STREET","EAST   87 STREET","ADDRESS","NEW YORK","3 AVENUE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","10/21/2025 07:40:26 AM","08 MANHATTAN","1015150035","MANHATTAN","997,045","223,123","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.77908809791","-73.95380063765","(40.779088097912926, -73.95380063764831)"
